	Root241	Root381	Root105	Root236	Root179	Root495	Root68	Root1257	Root480	Root107	Root630	Root916	Root181	Root670	Root11	Root1472	Root1238	Root1471	Root491	Root569	Root685	Root1304	Root935	Root482	Root552	Root149	Root154	Root431	Root74	Root133	Root444D2	Root100	Root240	Root22	Root53	Root558	Root1298	Root920	Root1252	Root710	Root559	Root1280	Root101	Root102	Root1464	Root278	Root157	Root667	Root172	Root1203	Root190	Root170	Root265	Root1277	Root180	Root1455	Root186	Root70	Root635	Root954	Root61	Root1212	Root1295	Root423	Root456	Root322	Root1220	Root1293	Root136	Root332	Root564	Root318D1	Root122	Root217	Root123D2	Root1310	Root189	Root1240	Root614	Root1294	Root1433D1	Root151	Root1312	Root198D2
ko:K01775	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0		1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0		1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0		1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0
ko:K01776	1.0	1.0		1.0		1.0	2.0	1.0		1.0			1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		2.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01778	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01779	1.0	1.0	1.0					2.0		1.0		1.0	1.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0			2.0			2.0		2.0	1.0	1.0		1.0	1.0		2.0	2.0		2.0		1.0	3.0		1.0		2.0		1.0	1.0	1.0	1.0	2.0		2.0		2.0	1.0	2.0	2.0	2.0		1.0		2.0	1.0		1.0		1.0	1.0		2.0	2.0	2.0			2.0	1.0	1.0		1.0	1.0	2.0	
ko:K01783	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0		1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0		1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0
ko:K01784	1.0	4.0	2.0	2.0		2.0	3.0	6.0	2.0	7.0		2.0	3.0	2.0	6.0	2.0	3.0	1.0	2.0	1.0	1.0	4.0	1.0	3.0	1.0	2.0	1.0	5.0	4.0	1.0	5.0	2.0	2.0	2.0	5.0	4.0	4.0	2.0	5.0	1.0	2.0	1.0	5.0	4.0	4.0	3.0	1.0	2.0	3.0	3.0	4.0	2.0	3.0		7.0	1.0	2.0	2.0	2.0	4.0	5.0	1.0	6.0	5.0	3.0	3.0	3.0	4.0	2.0	4.0	1.0	3.0	4.0	1.0	3.0	4.0	1.0	3.0	2.0	1.0	4.0	2.0	4.0	1.0
ko:K01785	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	4.0	2.0	1.0		2.0	1.0		2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0				1.0	3.0	1.0	2.0	1.0		2.0	2.0	1.0	1.0	1.0		1.0	3.0	4.0	2.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0		1.0	2.0	1.0	2.0	2.0		2.0	1.0	1.0	2.0		2.0	1.0	3.0	6.0
ko:K01791	2.0		2.0	1.0	1.0			2.0		1.0			1.0		1.0						1.0		1.0				1.0	1.0		2.0	2.0		1.0	3.0				1.0		1.0	1.0		2.0					1.0								1.0			1.0		1.0	1.0	1.0					2.0		1.0		1.0	1.0		1.0	1.0			1.0	1.0		1.0		1.0
ko:K01796	1.0			1.0		2.0		1.0		1.0			1.0	1.0		1.0		1.0				2.0			1.0		1.0	1.0		1.0		1.0	3.0							2.0			1.0	1.0			1.0				3.0		2.0	1.0		1.0		1.0			1.0		1.0						2.0				1.0	1.0	2.0	2.0	4.0		3.0	5.0		2.0		
ko:K01800,ko:K01801	1.0		1.0				1.0									1.0	1.0							1.0			1.0		1.0	1.0						1.0	1.0		1.0			1.0				1.0				1.0		2.0		1.0		1.0		2.0		1.0		1.0		1.0								1.0		3.0			1.0						1.0	1.0
ko:K01802	3.0			1.0	1.0	1.0		1.0	1.0	2.0	1.0	1.0	1.0			3.0						2.0					3.0	1.0		2.0			2.0	3.0	2.0					3.0	1.0		2.0		2.0			1.0			1.0		1.0	3.0	2.0	3.0			1.0		2.0		2.0		1.0	2.0		2.0	1.0	2.0			1.0			2.0	1.0		2.0	3.0	2.0	2.0		
ko:K01802,ko:K03770	1.0	1.0	1.0											1.0				1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0			1.0				1.0	1.0		1.0	1.0				1.0		1.0	1.0		1.0	1.0							1.0		1.0	1.0		1.0		1.0			1.0				1.0				1.0			1.0		1.0			1.0	
ko:K01803	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01808	1.0			1.0		1.0		1.0	1.0	1.0			1.0	1.0	1.0							1.0	1.0				1.0	1.0			1.0		1.0	2.0	1.0			1.0		1.0			1.0		1.0						1.0		2.0	1.0	1.0		1.0				1.0		2.0		2.0	1.0		1.0	1.0	1.0			1.0			2.0			1.0	1.0	1.0	1.0		
ko:K01809	1.0	1.0	1.0	2.0		1.0		1.0		1.0			1.0	1.0	1.0				1.0			2.0	1.0	1.0		1.0	3.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0		2.0	1.0					1.0	1.0	1.0		1.0		1.0			1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0				1.0	1.0		2.0	1.0	1.0	1.0		1.0	
ko:K01810	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0		3.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0
ko:K01811	2.0			1.0	1.0				1.0	1.0	1.0					2.0							1.0								2.0			2.0											1.0							1.0			1.0	1.0	1.0								1.0			1.0								2.0								1.0
ko:K01812	1.0	1.0	1.0					1.0	1.0					1.0		1.0					1.0		1.0	1.0			3.0				2.0							2.0						1.0	1.0		1.0		1.0	1.0					1.0	4.0	1.0		1.0								1.0			1.0										1.0				
ko:K01814	1.0	1.0	1.0		1.0		1.0		2.0		1.0	1.0		1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0		2.0		1.0	1.0	1.0	1.0	1.0		1.0		1.0			1.0				1.0	2.0		1.0	1.0		1.0	1.0		1.0			1.0	1.0
ko:K01815	2.0	1.0							1.0		1.0	1.0		1.0		2.0		1.0	1.0		1.0		1.0	1.0		2.0	2.0		1.0		1.0					2.0	1.0	1.0	2.0		1.0			1.0	1.0	2.0		1.0		2.0	1.0		1.0			2.0	1.0		1.0	1.0				2.0			1.0																1.0	
ko:K01816	1.0	1.0	2.0			1.0				1.0	1.0		1.0			1.0		1.0	1.0	2.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0			1.0		1.0					1.0	1.0	1.0	1.0	1.0	1.0		1.0				2.0	1.0	1.0				1.0	1.0		1.0	1.0			1.0	2.0					1.0		1.0	1.0	1.0	1.0					1.0	1.0	2.0
ko:K01817	1.0	1.0	1.0		1.0		1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0				1.0	1.0	1.0	2.0	1.0	1.0	1.0		1.0		2.0	1.0	1.0	1.0	1.0		1.0		1.0		1.0	1.0	1.0	1.0	1.0		2.0		1.0			1.0				1.0	1.0		1.0	1.0		1.0	1.0		1.0			1.0	1.0
ko:K01834	1.0		1.0	2.0	2.0	2.0		2.0	1.0	2.0			2.0		5.0	2.0	1.0	1.0			1.0	2.0		1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0			2.0	1.0	1.0	1.0	1.0		1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0
ko:K01840	1.0	1.0	1.0	1.0		1.0		1.0		4.0			1.0	1.0					1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0				1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0			1.0	1.0	1.0		2.0				2.0		1.0	1.0		1.0	2.0	1.0	1.0		2.0		2.0	1.0	1.0					1.0		2.0	1.0	1.0		1.0	1.0	
ko:K01845	1.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0		3.0	1.0		2.0	1.0	2.0	1.0		1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0		1.0	2.0	1.0		1.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0		1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0		1.0	2.0		2.0	1.0	2.0	1.0		2.0	2.0	2.0		1.0	2.0	2.0		2.0	1.0		1.0		1.0	1.0	1.0	1.0
ko:K01847	1.0	2.0	1.0	2.0		2.0		2.0						2.0		2.0	1.0	3.0	1.0			2.0	2.0	1.0	2.0	1.0	1.0		1.0			1.0	2.0			1.0	1.0		1.0	1.0				2.0		1.0	2.0		2.0	1.0	2.0		2.0	2.0		2.0	2.0	1.0	1.0	1.0		1.0	2.0	1.0			1.0		2.0		1.0	1.0	2.0	1.0	2.0	2.0		1.0	2.0	1.0		2.0	1.0	
ko:K01858	1.0			1.0		1.0		1.0		1.0			2.0									1.0						2.0					1.0	2.0									1.0		1.0						1.0		1.0										2.0		1.0				1.0				1.0			3.0			1.0			1.0		
ko:K01866	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
ko:K01867	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	2.0
ko:K01868	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01869	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01870	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01872	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
ko:K01873	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01874	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ko:K01876	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0		2.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	2.0	2.0		2.0	1.0	2.0	1.0	1.0	2.0		1.0		2.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0
ko:K01878	1.0	1.0	1.0		1.0		1.0		1.0		1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0		1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0		1.0		1.0		1.0	1.0	1.0		1.0		1.0			1.0				1.0	1.0		1.0	1.0		1.0	1.0		1.0			1.0	1.0
ko:K01879	1.0	1.0	1.0		1.0		1.0		1.0		1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0		1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	2.0	1.0		1.0		1.0		1.0		1.0	1.0	1.0		1.0		1.0			1.0				1.0	1.0		1.0	1.0		1.0	1.0		1.0			1.0	1.0
